month,temp,RH,wind,area
aug,25.7,39,5.4,0.09
aug,19.4,55,4,0.17
aug,22.1,37,3.6,0.21
aug,24,36,3.1,0.24
sep,19.1,46,2.2,0.33
jul,18,42,2.7,0.36
sep,17.1,53,5.4,0.41
sep,21.7,38,2.2,0.43
aug,18.2,62,5.4,0.43
sep,21.9,39,1.8,0.47
aug,21.8,56,3.1,0.52
sep,15.2,64,3.1,0.52
aug,26.8,35,1.3,0.54
aug,23.3,31,4.5,0.55
aug,21.2,51,8.9,0.61
aug,26.8,25,3.1,0.68
aug,21.4,44,2.7,0.68
jul,16.6,53,5.4,0.71
sep,22.3,48,4,0.72
aug,20.7,70,2.2,0.75
aug,26.8,38,6.3,0.76
aug,23.8,32,5.4,0.77
aug,22.1,54,7.6,0.79
aug,27.4,22,4,0.9
jun,14.3,46,1.8,0.9
n,13.2,40,5.4,0.95
sep,24.2,28,3.6,0.96
sep,16.8,28,4,1.01
aug,17.4,43,6.7,1.07
sep,18.4,42,2.2,1.09
feb,8.8,35,3.1,1.1
sep,23.7,25,4.5,1.12
jun,23.2,39,5.4,1.19
aug,25.5,29,1.8,1.23
sep,20.8,35,4.9,1.26
aug,23.4,40,5.8,1.29
jul,24.8,29,2.2,1.36
aug,23.7,40,1.8,1.38
jul,24.6,43,1.8,1.43
sep,20.1,47,4.9,1.46
sep,29.6,27,2.7,1.46
sep,20.4,41,1.8,1.47
aug,21.4,38,2.7,1.52
aug,16.4,47,1.3,1.56
aug,19.3,39,3.6,1.56
sep,19.7,41,1.8,1.58
sep,28.6,27,2.2,1.61
aug,18.4,45,3.6,1.63
jul,22.8,27,4.5,1.63
aug,20.5,35,4,1.64
sep,12.8,64,3.6,1.64
sep,19,34,5.8,1.69
sep,19.8,47,2.7,1.72
mar,16.1,29,3.1,1.75
sep,15.9,38,5.4,1.75
jul,27.2,28,1.3,1.76
aug,20.3,41,4,1.9
mar,15.2,31,8.5,1.94
aug,15.5,72,8,1.94
jun,14.3,79,4,1.94
sep,17.8,56,1.8,1.95
aug,29.2,30,4.9,1.95
aug,24.1,43,6.3,2
sep,17.8,67,2.2,2.01
sep,20.6,43,3.6,2.03
aug,30.6,28,3.6,2.07
sep,18.1,54,3.1,2.13
mar,5.3,70,4.5,2.14
feb,5.1,77,5.4,2.14
aug,21.1,71,7.6,2.17
sep,12.9,39,2.7,2.18
sep,15.9,51,4.5,2.18
jul,18.2,82,4.5,2.21
aug,16.6,47,0.9,2.29
aug,27.9,33,2.2,2.35
aug,24.9,42,5.4,2.44
aug,21.7,40,0.4,2.47
aug,23.4,33,4.5,2.51
mar,14.6,26,9.4,2.53
aug,20.7,45,2.2,2.55
sep,21.9,35,1.8,2.57
jul,22.9,40,1.3,2.64
aug,17.4,50,4,2.69
aug,20.1,39,5.4,2.74
jul,30.2,25,4.5,2.75
aug,32.6,26,3.1,2.77
aug,22.4,54,7.6,2.87
sep,15.9,53,2.2,2.93
aug,24.8,36,4,3.05
sep,17.7,39,2.2,3.07
aug,20.2,47,4,3.09
mar,10.2,45,5.8,3.18
jun,22.7,40,9.4,3.19
aug,24.6,44,4,3.2
aug,11.2,84,7.6,3.3
aug,18.9,64,4.9,3.32
sep,23.5,27,4,3.33
apr,10.9,64,3.1,3.35
aug,14.2,53,1.8,3.5
jun,19.1,39,5.4,3.52
aug,24.3,33,3.6,3.63
sep,20.4,55,4.9,3.64
sep,10.1,75,3.6,3.71
sep,14.5,76,7.6,3.71
sep,19.2,24,4.9,3.78
sep,19.3,44,2.2,3.93
sep,17.3,45,4,3.94
sep,17,67,4.9,3.95
aug,21.4,42,3.1,4.25
aug,19.1,53,2.7,4.4
sep,21.6,28,6.3,4.41
sep,13.7,56,1.8,4.42
aug,20.3,39,4.9,4.53
apr,5.8,54,5.8,4.61
feb,8.2,53,9.4,4.62
aug,19.2,44,2.7,4.69
sep,18.3,45,2.2,4.88
sep,22.8,46,4,4.95
aug,26.9,31,3.6,4.96
sep,23.8,35,3.6,5.18
aug,14.4,66,5.4,5.23
sep,23.9,32,6.7,5.33
dec,5.1,61,4.9,5.38
feb,4.6,82,6.3,5.39
oct,19.1,32,4,5.44
mar,11.2,41,5.4,5.55
sep,21.1,35,2.7,5.65
aug,26.7,35,1.8,5.8
sep,16.8,43,3.1,5.83
aug,28.2,29,1.8,5.86
sep,18.7,50,2.2,5.97
sep,21.8,34,2.2,6.04
sep,12.2,66,4.9,6.1
jul,29.3,27,3.6,6.3
aug,23.3,40,4,6.36
feb,12.4,53,2.2,6.38
aug,23.6,53,4,6.43
aug,23.4,49,5.4,6.43
aug,27.8,32,2.7,6.44
aug,21.8,53,3.1,6.54
jul,17.1,67,3.6,6.57
sep,24.2,27,3.1,6.58
mar,13.3,27,3.6,6.61
oct,16.8,45,4.5,6.83
feb,4.6,59,0.9,6.84
aug,20.8,34,4.9,6.96
jul,26.3,39,3.1,7.02
sep,17.6,46,3.1,7.04
mar,11.5,39,5.8,7.19
sep,16.8,28,4,7.21
sep,21,42,2.2,7.3
sep,15.4,53,6.3,7.31
jul,26.1,45,4,7.36
mar,13.3,42,0.9,7.4
sep,22.7,35,2.2,7.48
jul,19.3,39,7.2,7.73
sep,19.9,44,3.1,7.8
jul,25.3,39,0.9,8
aug,23.9,41,2.2,8.02
sep,21.1,39,2.2,8.12
jun,28,34,4.5,8.16
mar,11.5,60,4,8.24
mar,11.7,33,4,8.31
aug,30.8,30,4.9,8.59
aug,24.2,28,2.7,8.68
aug,24.6,22,4.5,8.71
aug,28.3,32,4,8.85
dec,4.8,57,8.5,8.98
aug,20.1,58,4.5,9.27
dec,2.2,59,4.9,9.27
sep,24.3,25,4,9.41
aug,11.8,88,4.9,9.71
dec,4.6,21,8.5,9.77
feb,7.5,71,6.3,9.96
sep,16.2,58,3.6,9.96
aug,24.6,22,4.5,10.01
aug,23.5,36,5.4,10.02
jun,26.4,35,2.7,10.08
aug,15.4,66,4,10.13
aug,18.9,41,3.1,10.34
dec,4.6,21,8.5,10.73
aug,27.3,63,4.9,10.82
apr,5.8,54,5.8,10.93
sep,21.5,15,0.9,11.06
sep,13.8,77,7.6,11.06
aug,21.2,70,6.7,11.16
dec,5.1,61,8,11.19
sep,17.1,41,2.2,11.22
sep,13.9,59,6.3,11.24
sep,22.6,38,3.6,11.32
sep,21.6,33,2.2,11.53
mar,12.4,54,3.6,12.1
aug,21.3,44,4.5,12.18
sep,16.8,47,4.9,12.64
feb,8.8,68,2.2,13.05
sep,20.8,35,4.9,13.06
oct,20.2,37,2.7,13.7
mar,15.1,64,4,13.99
sep,24.8,28,1.8,14.29
sep,22.1,34,1.8,14.57
aug,32.3,27,2.2,14.68
aug,20.9,66,4.9,15.34
aug,22.9,31,7.2,15.45
sep,21.5,28,4.5,15.64
aug,20.9,50,2.2,16
aug,16.2,63,2.7,16.33
aug,26.4,34,3.6,16.4
sep,20.7,37,2.2,17.2
dec,4.6,21,8.5,17.85
sep,10.3,78,4,18.3
sep,19.6,33,6.3,19.23
sep,19.6,45,3.1,20.03
dec,4.6,21,8.5,22.03
sep,23.2,26,4.9,23.41
oct,18.4,25,3.1,24.23
feb,7.5,46,8,24.24
sep,20.6,55,5.4,24.59
dec,5.1,24,8.5,24.77
aug,5.1,96,5.8,26
sep,20.1,47,4.9,26.13
aug,33.1,25,4,26.43
mar,11,46,5.8,27.35
sep,21.3,35,2.2,28.19
mar,17,27,4.9,28.66
mar,17,27,4.9,28.66
aug,23.3,34,3.1,28.74
sep,16.9,60,1.3,29.48
sep,20.7,46,2.7,30.18
sep,12.4,73,6.3,30.32
sep,19.4,19,1.3,31.72
mar,15.2,27,3.1,31.86
aug,16.2,59,3.1,32.07
sep,18.9,34,7.2,34.36
sep,18.6,49,3.6,35.88
mar,11,46,5.8,36.85
jul,13.4,79,3.6,37.02
sep,15.4,57,4.5,37.71
may,18,40,4,38.48
sep,15.4,57,4.9,39.35
aug,33.3,26,2.7,40.54
aug,20.5,58,2.7,42.87
aug,27.5,29,4.5,43.32
aug,19.4,71,7.6,46.7
sep,22.9,39,4.9,48.55
oct,16.1,44,4,49.37
aug,28.9,29,4.9,49.59
feb,10.1,62,1.8,51.78
aug,21.9,71,5.8,54.29
sep,23,34,2.2,56.04
aug,20.1,34,4.5,58.3
apr,13.7,33,9.4,61.13
sep,28.3,26,3.1,64.1
jun,24.5,50,3.1,70.32
sep,21.9,43,4,70.76
aug,16.4,43,4,71.3
aug,19.9,50,4,82.75
jul,26.9,28,5.4,86.45
sep,26.4,21,4.5,88.49
sep,27.8,27,3.1,95.18
sep,18.7,43,2.7,103.39
sep,24.3,36,3.1,105.66
sep,17.7,25,3.1,154.88
aug,21.9,42,2.2,174.63
aug,26.2,36,4.5,185.76
aug,19.6,41,5.8,196.48
sep,18.2,46,1.8,200.94
sep,18.8,40,2.2,212.88
jul,22.6,57,4.9,278.53
